date,lake,funct,mgO2_day
2020-08-12,MCD,NEP3,0.06435688045936122
2020-08-12,MCD,GPPsd,0.00937508271879899
2020-08-12,MCD,Rsd,0.00920406273483627
2020-08-12,MCD,NEPsd,0.0131379963012297
2020-08-13,MCD,GPP,0.04167997105477983
2020-08-13,MCD,R,-0.01231471275034428
2020-08-13,MCD,NEP,0.02936525830443554
2020-08-13,MCD,GPP2,0.04167997105477983
2020-08-13,MCD,R2,-0.01231471275034428
2020-08-13,MCD,NEP2,0.02936525830443554
2020-08-13,MCD,NEP3,0.02936525830443554
2020-08-13,MCD,GPPsd,0.01085297535630236
2020-08-13,MCD,Rsd,0.01075278003026023
2020-08-13,MCD,NEPsd,0.01527774042401786
2020-08-14,MCD,GPP,-0.0299985097745386
2020-08-14,MCD,R,0.06333095242388322
2020-08-14,MCD,NEP,0.03333244264934461
2020-08-14,MCD,GPP2,0.0299985097745386
2020-08-14,MCD,R2,-0.06333095242388322
2020-08-14,MCD,NEP2,0.03333244264934461
2020-08-14,MCD,NEP3,-0.03333244264934461
2020-08-14,MCD,GPPsd,0.01070499808543826
2020-08-14,MCD,Rsd,0.01046207991276482
2020-08-14,MCD,NEPsd,0.01496836998842272
2020-08-15,MCD,GPP,0.03360681890302979
2020-08-15,MCD,R,-0.01414188499451632
2020-08-15,MCD,NEP,0.01946493390851346
2020-08-15,MCD,GPP2,0.03360681890302979
2020-08-15,MCD,R2,-0.01414188499451632
2020-08-15,MCD,NEP2,0.01946493390851346
2020-08-15,MCD,NEP3,0.01946493390851346
2020-08-15,MCD,GPPsd,0.01246238203843369
2020-08-15,MCD,Rsd,0.01216395803788533
2020-08-15,MCD,NEPsd,0.01741473058130127
2020-08-16,MCD,GPP,0.04288174039870575
2020-08-16,MCD,R,-0.04168107066665884
2020-08-16,MCD,NEP,0.00120066973204691
2020-08-16,MCD,GPP2,0.04288174039870575
2020-08-16,MCD,R2,-0.04168107066665884
2020-08-16,MCD,NEP2,0.00120066973204691
2020-08-16,MCD,NEP3,0.00120066973204691
2020-08-16,MCD,GPPsd,0.01179251261304224
2020-08-16,MCD,Rsd,0.01111323441707816
2020-08-16,MCD,NEPsd,0.01620392955235522
2020-08-17,MCD,GPP,0.06414935672712604
2020-08-17,MCD,R,-0.10951227104324927
2020-08-17,MCD,NEP,-0.04536291431612324
2020-08-17,MCD,GPP2,0.06414935672712604
2020-08-17,MCD,R2,-0.10951227104324927
2020-08-17,MCD,NEP2,-0.04536291431612324
2020-08-17,MCD,NEP3,-0.04536291431612324
2020-08-17,MCD,GPPsd,0.01475840127315639
2020-08-17,MCD,Rsd,0.01488154197920196
2020-08-17,MCD,NEPsd,0.02095878574293498
2020-08-18,MCD,GPP,0.17426753835506828
2020-08-18,MCD,R,-0.20009039715863156
2020-08-18,MCD,NEP,-0.02582285880356327
2020-08-18,MCD,GPP2,0.17426753835506828
2020-08-18,MCD,R2,-0.20009039715863156
2020-08-18,MCD,NEP2,-0.02582285880356327
2020-08-18,MCD,NEP3,-0.02582285880356327
2020-08-18,MCD,GPPsd,0.04172429473027966
2020-08-18,MCD,Rsd,0.04137422478534632
2020-08-18,MCD,NEPsd,0.05876004805416354
2020-08-19,MCD,GPP,0.25240964782968567
2020-08-19,MCD,R,-0.0763916095204582
2020-08-19,MCD,NEP,0.17601803830922746
2020-08-19,MCD,GPP2,0.25240964782968567
2020-08-19,MCD,R2,-0.0763916095204582
2020-08-19,MCD,NEP2,0.17601803830922746
2020-08-19,MCD,NEP3,0.17601803830922746
2020-08-19,MCD,GPPsd,0.06228269333695922
2020-08-19,MCD,Rsd,0.0630004417597004
2020-08-19,MCD,NEPsd,0.08859000819067073
2020-08-20,MCD,GPP,-0.13446821367389247
2020-08-20,MCD,R,0.2574856332704974
2020-08-20,MCD,NEP,0.12301741959660492
2020-08-20,MCD,GPP2,0.13446821367389247
2020-08-20,MCD,R2,-0.2574856332704974
2020-08-20,MCD,NEP2,0.12301741959660492
2020-08-20,MCD,NEP3,-0.12301741959660492
2020-08-20,MCD,GPPsd,0.05398373651729711
2020-08-20,MCD,Rsd,0.05399784748133449
2020-08-20,MCD,NEPsd,0.07635451094065379
2020-08-21,MCD,GPP,-0.7006120456214765
2020-08-21,MCD,R,0.8283282012927287
2020-08-21,MCD,NEP,0.12771615567125216
2020-08-21,MCD,GPP2,0.7006120456214765
2020-08-21,MCD,R2,-0.8283282012927287
2020-08-21,MCD,NEP2,0.12771615567125216
2020-08-21,MCD,NEP3,-0.12771615567125216
2020-08-21,MCD,GPPsd,0.05770193839359874
2020-08-21,MCD,Rsd,0.05846635880856349
2020-08-21,MCD,NEPsd,0.08214516910147762
2020-08-22,MCD,GPP,-0.05138662685033204
2020-08-22,MCD,R,0.2359269282418317
2020-08-22,MCD,NEP,0.18454030139149968
2020-08-22,MCD,GPP2,0.05138662685033204
2020-08-22,MCD,R2,-0.2359269282418317
2020-08-22,MCD,NEP2,0.18454030139149968
2020-08-22,MCD,NEP3,-0.18454030139149968
2020-08-22,MCD,GPPsd,0.01993406328885082
2020-08-22,MCD,Rsd,0.01963531298735592
2020-08-22,MCD,NEPsd,0.02798057174747039
2020-08-23,MCD,GPP,0.16059176018196583
2020-08-23,MCD,R,-0.18658173934623132
2020-08-23,MCD,NEP,-0.02598997916426548
2020-08-23,MCD,GPP2,0.16059176018196583
2020-08-23,MCD,R2,-0.18658173934623132
