date,lake,funct,model,mgO2_day
8/9/20,MCD,NEP3,bayes,0.113465741
8/9/20,MCD,NEP3,book,0.204096912
8/9/20,MCD,GPPsd,bayes,0.012107143
8/9/20,MCD,Rsd,bayes,0.011946586
8/9/20,MCD,NEPsd,bayes,0.017008934
8/10/20,MCD,GPP,bayes,-0.001504482
8/10/20,MCD,GPP,book,0.088166698
8/10/20,MCD,R,bayes,-0.049826511
8/10/20,MCD,R,book,-0.100070244
8/10/20,MCD,NEP,bayes,-0.051330993
8/10/20,MCD,NEP,book,-0.051175135
8/10/20,MCD,GPP2,bayes,0.001504482
8/10/20,MCD,GPP2,book,0.088166698
8/10/20,MCD,R2,bayes,-0.049826511
8/10/20,MCD,R2,book,-0.100070244
8/10/20,MCD,NEP2,bayes,-0.051330993
8/10/20,MCD,NEP2,book,-0.011903546
8/10/20,MCD,NEP3,bayes,-0.048322029
8/10/20,MCD,NEP3,book,-0.011903546
8/10/20,MCD,GPPsd,bayes,0.012682933
8/10/20,MCD,Rsd,bayes,0.012316853
8/10/20,MCD,NEPsd,bayes,0.017679413
8/11/20,MCD,GPP,bayes,0.121024783
8/11/20,MCD,GPP,book,0.374391037
8/11/20,MCD,R,bayes,-0.105808042
8/11/20,MCD,R,book,-0.258048646
8/11/20,MCD,NEP,bayes,0.015216741
8/11/20,MCD,NEP,book,0.012492888
8/11/20,MCD,GPP2,bayes,0.121024783
8/11/20,MCD,GPP2,book,0.374391037
8/11/20,MCD,R2,bayes,-0.105808042
8/11/20,MCD,R2,book,-0.258048646
8/11/20,MCD,NEP2,bayes,0.015216741
8/11/20,MCD,NEP2,book,0.116342392
8/11/20,MCD,NEP3,bayes,0.015216741
8/11/20,MCD,NEP3,book,0.116342392
8/11/20,MCD,GPPsd,bayes,0.012068914
8/11/20,MCD,Rsd,bayes,0.01151255
8/11/20,MCD,NEPsd,bayes,0.016679254
8/12/20,MCD,GPP,bayes,0.087884219
8/12/20,MCD,GPP,book,0.105235577
8/12/20,MCD,R,bayes,-0.023527339
8/12/20,MCD,R,book,-0.026165925
8/12/20,MCD,NEP,bayes,0.06435688
8/12/20,MCD,NEP,book,0.069009833
8/12/20,MCD,GPP2,bayes,0.087884219
8/12/20,MCD,GPP2,book,0.105235577
8/12/20,MCD,R2,bayes,-0.023527339
8/12/20,MCD,R2,book,-0.026165925
8/12/20,MCD,NEP2,bayes,0.06435688
8/12/20,MCD,NEP2,book,0.079069652
8/12/20,MCD,NEP3,bayes,0.06435688
8/12/20,MCD,NEP3,book,0.079069652
8/12/20,MCD,GPPsd,bayes,0.009375083
8/12/20,MCD,Rsd,bayes,0.009204063
