datetime,lake,depth,temp
2020-06-25T10:00:00Z,UPH,8,3.893
2020-06-25T10:00:00Z,UPH,1,7.265
2020-06-25T10:30:00Z,UPH,0,9.077
2020-06-25T10:30:00Z,UPH,2,6.877
2020-06-25T10:30:00Z,UPH,4,5.552
2020-06-25T10:30:00Z,UPH,8,3.893
2020-06-25T10:30:00Z,UPH,1,7.15
2020-06-25T11:00:00Z,UPH,0,9.275
2020-06-25T11:00:00Z,UPH,2,7.582
2020-06-25T11:00:00Z,UPH,4,6.064
2020-06-25T11:00:00Z,UPH,8,3.893
2020-06-25T11:00:00Z,UPH,1,7.016
2020-06-25T11:30:00Z,UPH,0,8.779
2020-06-25T11:30:00Z,UPH,2,8.282
2020-06-25T11:30:00Z,UPH,4,5.655
2020-06-25T11:30:00Z,UPH,8,3.893
2020-06-25T11:30:00Z,UPH,1,8.383
2020-06-25T12:00:00Z,UPH,0,9.077
2020-06-25T12:00:00Z,UPH,2,9.176
2020-06-25T12:00:00Z,UPH,4,5.86
2020-06-25T12:00:00Z,UPH,8,3.893
2020-06-25T12:00:00Z,UPH,1,8.402
2020-06-25T12:30:00Z,UPH,0,9.176
2020-06-25T12:30:00Z,UPH,2,9.373
2020-06-25T12:30:00Z,UPH,4,5.655
2020-06-25T12:30:00Z,UPH,8,3.998
2020-06-25T12:30:00Z,UPH,1,8.486
2020-06-25T13:00:00Z,UPH,0,9.472
2020-06-25T13:00:00Z,UPH,2,8.481
2020-06-25T13:00:00Z,UPH,4,5.552
2020-06-25T13:00:00Z,UPH,8,4.102
2020-06-25T13:00:00Z,UPH,1,8.599
2020-06-25T13:30:00Z,UPH,0,9.768
2020-06-25T13:30:00Z,UPH,2,8.68
2020-06-25T13:30:00Z,UPH,4,5.552
2020-06-25T13:30:00Z,UPH,8,4.102
2020-06-25T13:30:00Z,UPH,1,9.009
2020-06-25T14:00:00Z,UPH,0,10.063
2020-06-25T14:00:00Z,UPH,2,7.682
2020-06-25T14:00:00Z,UPH,4,5.757
2020-06-25T14:00:00Z,UPH,8,4.102
2020-06-25T14:00:00Z,UPH,1,9.129
2020-06-25T14:30:00Z,UPH,0,10.748
2020-06-25T14:30:00Z,UPH,2,7.682
2020-06-25T14:30:00Z,UPH,4,5.757
2020-06-25T14:30:00Z,UPH,8,4.102
2020-06-25T14:30:00Z,UPH,1,9.222
2020-06-25T15:00:00Z,UPH,0,10.553
2020-06-25T15:00:00Z,UPH,2,7.582
2020-06-25T15:00:00Z,UPH,4,5.757
2020-06-25T15:00:00Z,UPH,8,3.998
2020-06-25T15:00:00Z,UPH,1,8.953
2020-06-25T15:30:00Z,UPH,0,11.139
2020-06-25T15:30:00Z,UPH,2,8.879
2020-06-25T15:30:00Z,UPH,4,6.064
2020-06-25T15:30:00Z,UPH,8,3.998
2020-06-25T15:30:00Z,UPH,1,9.453
