time,latitude,longitude,vgrd10m,ugrd10m
2020-06-12T06:00:00Z,48,246.5,0.48016843,-1.5682201
2020-06-12T09:00:00Z,47,246.5,-0.54919434,-0.43963867
2020-06-12T09:00:00Z,47.5,246.5,0.090805665,-2.0196385
2020-06-12T09:00:00Z,48,246.5,0.30080566,-1.5996386
2020-06-12T12:00:00Z,47,246.5,-0.6066284,-0.6704834
2020-06-12T12:00:00Z,47.5,246.5,0.5133716,-1.6604834
2020-06-12T12:00:00Z,48,246.5,0.55337155,-1.9304833
2020-06-12T15:00:00Z,47,246.5,-0.5083276,-0.76399654
2020-06-12T15:00:00Z,47.5,246.5,0.33167237,-1.5839965
2020-06-12T15:00:00Z,48,246.5,0.33167237,-1.1739966
2020-06-12T18:00:00Z,47,246.5,-0.34459716,-0.49913818
2020-06-12T18:00:00Z,47.5,246.5,2.1954029,-0.07913818
2020-06-12T18:00:00Z,48,246.5,0.38540283,-0.30913818
2020-06-12T21:00:00Z,47,246.5,1.375791,0.7584204
2020-06-12T21:00:00Z,47.5,246.5,5.725791,1.1184204
2020-06-12T21:00:00Z,48,246.5,4.445791,3.0584204
2020-06-13T00:00:00Z,47,246.5,2.1789868,-0.6492163
2020-06-13T00:00:00Z,47.5,246.5,3.0989869,0.9207837
2020-06-13T00:00:00Z,48,246.5,0.3789868,4.6107836
2020-06-13T03:00:00Z,47,246.5,-2.1912134,0.7322339
2020-06-13T03:00:00Z,47.5,246.5,-1.2012134,1.3422339
2020-06-13T03:00:00Z,48,246.5,-0.31121337,1.0622338
2020-06-13T06:00:00Z,47,246.5,-1.5973779,0.58935547
2020-06-13T06:00:00Z,47.5,246.5,-1.0573779,0.18935546
2020-06-13T06:00:00Z,48,246.5,-0.43737793,0.48935544
2020-06-13T09:00:00Z,47,246.5,-1.0374926,0.7877197
2020-06-13T09:00:00Z,47.5,246.5,-1.0574926,-0.94228023
2020-06-13T09:00:00Z,48,246.5,-0.40749267,-1.0422802
2020-06-13T12:00:00Z,47,246.5,0.05199463,0.8799023
2020-06-13T12:00:00Z,47.5,246.5,0.22199462,-0.87009764
2020-06-13T12:00:00Z,48,246.5,-0.78800535,-1.3200977
2020-06-13T15:00:00Z,47,246.5,-1.4149219,-1.9855224
2020-06-13T15:00:00Z,47.5,246.5,-1.4949218,-1.5955224
2020-06-13T15:00:00Z,48,246.5,-0.51492184,0.26447752
2020-06-13T18:00:00Z,47,246.5,3.0264282,-1.7488818
2020-06-13T18:00:00Z,47.5,246.5,6.2364283,-2.158882
2020-06-13T18:00:00Z,48,246.5,1.4464282,-0.07888184
2020-06-13T21:00:00Z,47,246.5,3.0008936,4.6341944
2020-06-13T21:00:00Z,47.5,246.5,1.7508935,4.564194
2020-06-13T21:00:00Z,48,246.5,1.6408935,4.7141943
2020-06-14T00:00:00Z,47,246.5,2.538208,5.797849
2020-06-14T00:00:00Z,47.5,246.5,2.038208,6.847849
