datetime,lake,funct,mgO2_day
2020-07-05,HOL,R2,-0.36762111832653865
2020-07-05,HOL,NEP2,-0.023852896484587216
2020-07-06,HOL,GPP,0.11808066186019266
2020-07-06,HOL,R,0.03829051784267577
2020-07-06,HOL,NEP,0.17085297740801988
2020-07-06,HOL,GPP2,0.11808066186019266
2020-07-06,HOL,R2,-0.03829051784267577
2020-07-06,HOL,NEP2,0.07979014401751688
2020-07-07,HOL,GPP,0.16332986069294997
2020-07-07,HOL,R,-0.0584346163338788
2020-07-07,HOL,NEP,0.08519709350358257
2020-07-07,HOL,GPP2,0.16332986069294997
2020-07-07,HOL,R2,-0.0584346163338788
2020-07-07,HOL,NEP2,0.10489524435907116
2020-07-09,HOL,GPP,0.16022771161309401
2020-07-09,HOL,R,-0.12493753774645133
2020-07-09,HOL,NEP,-0.008147495458223911
2020-07-09,HOL,GPP2,0.16022771161309401
2020-07-09,HOL,R2,-0.12493753774645133
2020-07-09,HOL,NEP2,0.03529017386664268
2020-07-10,HOL,GPP,0.42085633011407103
2020-07-10,HOL,R,-0.24881130920216266
2020-07-10,HOL,NEP,0.08625117168675997
2020-07-10,HOL,GPP2,0.42085633011407103
2020-07-10,HOL,R2,-0.24881130920216266
2020-07-10,HOL,NEP2,0.17204502091190838
2020-07-11,HOL,GPP,0.2753958839728977
2020-07-11,HOL,R,-0.14086795228407373
2020-07-11,HOL,NEP,0.08621415768522359
2020-07-11,HOL,GPP2,0.2753958839728977
2020-07-11,HOL,R2,-0.14086795228407373
2020-07-11,HOL,NEP2,0.134527931688824
2020-07-12,HOL,GPP,1.150180478915892
2020-07-12,HOL,R,-0.8257160925799247
2020-07-12,HOL,NEP,0.03802144757610536
2020-07-12,HOL,GPP2,1.150180478915892
2020-07-12,HOL,R2,-0.8257160925799247
2020-07-12,HOL,NEP2,0.3244643863359673
2020-07-13,HOL,GPP,0.32513300415232754
2020-07-13,HOL,R,-0.22323327497454296
2020-07-13,HOL,NEP,0.024558722048068752
2020-07-13,HOL,GPP2,0.32513300415232754
2020-07-13,HOL,R2,-0.22323327497454296
2020-07-13,HOL,NEP2,0.10189972917778459
2020-07-14,HOL,GPP,0.11768621664030476
2020-07-14,HOL,R,-0.08625779683538683
2020-07-14,HOL,NEP,0.001488130140831064
2020-07-14,HOL,GPP2,0.11768621664030476
2020-07-14,HOL,R2,-0.08625779683538683
2020-07-14,HOL,NEP2,0.03142841980491794
2020-07-15,HOL,GPP,-0.10307166351588644
2020-07-15,HOL,R,0.12484374318030189
2020-07-15,HOL,NEP,0.06557599042441203
2020-07-15,HOL,GPP2,0.10307166351588644
2020-07-15,HOL,R2,-0.12484374318030189
2020-07-15,HOL,NEP2,-0.021772079664415453
2020-07-16,HOL,GPP,-0.26664127066921584
2020-07-16,HOL,R,0.07096166387751099
2020-07-16,HOL,NEP,-0.17223622506384584
2020-07-16,HOL,GPP2,0.26664127066921584
2020-07-16,HOL,R2,-0.07096166387751099
2020-07-16,HOL,NEP2,0.19567960679170485
2020-07-17,HOL,GPP,0.831285290911018
2020-07-17,HOL,R,-0.5792704938394552
2020-07-17,HOL,NEP,0.0512350075967293
2020-07-17,HOL,GPP2,0.831285290911018
2020-07-17,HOL,R2,-0.5792704938394552
2020-07-17,HOL,NEP2,0.2520147970715628
