"","datetime","wnd_10"
"83.4",2020-06-10 05:00:00,2.07453509773547
"83.5",2020-06-10 05:30:00,2.07453509773547
"86",2020-06-10 06:00:00,1.59922382524461
"86.1",2020-06-10 06:30:00,1.59922382524461
"86.2",2020-06-10 07:00:00,1.59922382524461
"86.3",2020-06-10 07:30:00,1.59922382524461
"86.4",2020-06-10 08:00:00,1.59922382524461
"86.5",2020-06-10 08:30:00,1.59922382524461
"89",2020-06-10 09:00:00,1.11907210424823
"89.1",2020-06-10 09:30:00,1.11907210424823
"89.2",2020-06-10 10:00:00,1.11907210424823
"89.3",2020-06-10 10:30:00,1.11907210424823
"89.4",2020-06-10 11:00:00,1.11907210424823
"89.5",2020-06-10 11:30:00,1.11907210424823
"92",2020-06-10 12:00:00,1.87512265128262
"92.1",2020-06-10 12:30:00,1.87512265128262
"92.2",2020-06-10 13:00:00,1.87512265128262
"92.3",2020-06-10 13:30:00,1.87512265128262
"92.4",2020-06-10 14:00:00,1.87512265128262
"92.5",2020-06-10 14:30:00,1.87512265128262
"95",2020-06-10 15:00:00,3.23412508233659
"95.1",2020-06-10 15:30:00,3.23412508233659
"95.2",2020-06-10 16:00:00,3.23412508233659
"95.3",2020-06-10 16:30:00,3.23412508233659
"95.4",2020-06-10 17:00:00,3.23412508233659
"95.5",2020-06-10 17:30:00,3.23412508233659
"98",2020-06-10 18:00:00,1.80565344868621
"98.1",2020-06-10 18:30:00,1.80565344868621
"98.2",2020-06-10 19:00:00,1.80565344868621
"98.3",2020-06-10 19:30:00,1.80565344868621
"98.4",2020-06-10 20:00:00,1.80565344868621
"98.5",2020-06-10 20:30:00,1.80565344868621
"101",2020-06-10 21:00:00,0.983714151760778
"101.1",2020-06-10 21:30:00,0.983714151760778
"101.2",2020-06-10 22:00:00,0.983714151760778
"101.3",2020-06-10 22:30:00,0.983714151760778
"101.4",2020-06-10 23:00:00,0.983714151760778
"101.5",2020-06-10 23:30:00,0.983714151760778
"104",2020-06-11 00:00:00,2.45568904427658
"104.1",2020-06-11 00:30:00,2.45568904427658
"104.2",2020-06-11 01:00:00,2.45568904427658
"104.3",2020-06-11 01:30:00,2.45568904427658
"104.4",2020-06-11 02:00:00,2.45568904427658
"104.5",2020-06-11 02:30:00,2.45568904427658
"107",2020-06-11 03:00:00,1.73531757966432
"107.1",2020-06-11 03:30:00,1.73531757966432
"107.2",2020-06-11 04:00:00,1.73531757966432
"107.3",2020-06-11 04:30:00,1.73531757966432
"107.4",2020-06-11 05:00:00,1.73531757966432
"107.5",2020-06-11 05:30:00,1.73531757966432
"110",2020-06-11 06:00:00,1.79066057501543
"110.1",2020-06-11 06:30:00,1.79066057501543
"110.2",2020-06-11 07:00:00,1.79066057501543
"110.3",2020-06-11 07:30:00,1.79066057501543
"110.4",2020-06-11 08:00:00,1.79066057501543
"110.5",2020-06-11 08:30:00,1.79066057501543
"113",2020-06-11 09:00:00,0.930703482008288
"113.1",2020-06-11 09:30:00,0.930703482008288
"113.2",2020-06-11 10:00:00,0.930703482008288
"113.3",2020-06-11 10:30:00,0.930703482008288
"113.4",2020-06-11 11:00:00,0.930703482008288
"113.5",2020-06-11 11:30:00,0.930703482008288
"116",2020-06-11 12:00:00,2.31032073685324
"116.1",2020-06-11 12:30:00,2.31032073685324
"116.2",2020-06-11 13:00:00,2.31032073685324
"116.3",2020-06-11 13:30:00,2.31032073685324
"116.4",2020-06-11 14:00:00,2.31032073685324
"116.5",2020-06-11 14:30:00,2.31032073685324
"119",2020-06-11 15:00:00,0.838601909084139
"119.1",2020-06-11 15:30:00,0.838601909084139
