datetime,lake,depth_m,temp_C
2020-07-28T05:00:00Z,MCD,6,13.75
2020-07-28T05:00:00Z,MCD,8,12.594
2020-07-28T05:00:00Z,MCD,1,18.147
2020-07-28T05:30:00Z,MCD,10,10.944
2020-07-28T05:30:00Z,MCD,12,8.978
2020-07-28T05:30:00Z,MCD,2,18.331
2020-07-28T05:30:00Z,MCD,4,14.804
2020-07-28T05:30:00Z,MCD,6,13.558
2020-07-28T05:30:00Z,MCD,8,12.594
2020-07-28T05:30:00Z,MCD,1,18.096
2020-07-28T06:00:00Z,MCD,10,10.944
2020-07-28T06:00:00Z,MCD,12,8.978
2020-07-28T06:00:00Z,MCD,2,18.236
2020-07-28T06:00:00Z,MCD,4,14.709
2020-07-28T06:00:00Z,MCD,6,13.558
2020-07-28T06:00:00Z,MCD,8,12.497
2020-07-28T06:00:00Z,MCD,1,18.054
2020-07-28T06:30:00Z,MCD,10,10.748
2020-07-28T06:30:00Z,MCD,12,8.879
2020-07-28T06:30:00Z,MCD,2,18.236
2020-07-28T06:30:00Z,MCD,4,14.613
2020-07-28T06:30:00Z,MCD,6,13.365
2020-07-28T06:30:00Z,MCD,8,12.497
2020-07-28T06:30:00Z,MCD,1,18.012
2020-07-28T07:00:00Z,MCD,10,11.041
2020-07-28T07:00:00Z,MCD,12,8.581
2020-07-28T07:00:00Z,MCD,2,18.236
2020-07-28T07:00:00Z,MCD,4,14.613
2020-07-28T07:00:00Z,MCD,6,13.461
2020-07-28T07:00:00Z,MCD,8,12.401
2020-07-28T07:00:00Z,MCD,1,17.953
2020-07-28T07:30:00Z,MCD,10,10.846
2020-07-28T07:30:00Z,MCD,12,8.581
2020-07-28T07:30:00Z,MCD,2,18.14
2020-07-28T07:30:00Z,MCD,4,14.709
2020-07-28T07:30:00Z,MCD,6,13.558
2020-07-28T07:30:00Z,MCD,8,12.207
2020-07-28T07:30:00Z,MCD,1,17.902
2020-07-28T08:00:00Z,MCD,10,11.139
2020-07-28T08:00:00Z,MCD,12,8.779
2020-07-28T08:00:00Z,MCD,2,18.236
2020-07-28T08:00:00Z,MCD,4,14.804
2020-07-28T08:00:00Z,MCD,6,13.461
2020-07-28T08:00:00Z,MCD,8,12.207
2020-07-28T08:00:00Z,MCD,1,17.86
2020-07-28T08:30:00Z,MCD,10,11.431
2020-07-28T08:30:00Z,MCD,12,8.879
2020-07-28T08:30:00Z,MCD,2,18.236
2020-07-28T08:30:00Z,MCD,4,14.996
2020-07-28T08:30:00Z,MCD,6,13.558
2020-07-28T08:30:00Z,MCD,8,12.497
2020-07-28T08:30:00Z,MCD,1,17.835
2020-07-28T09:00:00Z,MCD,10,11.431
2020-07-28T09:00:00Z,MCD,12,8.879
2020-07-28T09:00:00Z,MCD,2,18.331
2020-07-28T09:00:00Z,MCD,4,14.996
2020-07-28T09:00:00Z,MCD,6,13.75
2020-07-28T09:00:00Z,MCD,8,12.497
2020-07-28T09:00:00Z,MCD,1,17.852
