time,latitude,longitude,vgrd10m,ugrd10m
2020-06-12T06:00:00Z,47.5,246,0.5301685,-2.3382201
2020-06-12T06:00:00Z,48,246,-0.03983154,-1.9682201
2020-06-12T09:00:00Z,47,246,0.52080566,-2.2096386
2020-06-12T09:00:00Z,47.5,246,0.37080565,-2.3396387
2020-06-12T09:00:00Z,48,246,-0.34919432,-2.1496387
2020-06-12T12:00:00Z,47,246,0.2633716,-2.0904834
2020-06-12T12:00:00Z,47.5,246,0.93337154,-2.5304832
2020-06-12T12:00:00Z,48,246,0.21337157,-1.9204834
2020-06-12T15:00:00Z,47,246,1.3716724,-1.0339966
2020-06-12T15:00:00Z,47.5,246,0.031672362,-0.023996582
2020-06-12T15:00:00Z,48,246,-0.068327636,1.0060034
2020-06-12T18:00:00Z,47,246,1.4654028,-0.6791382
2020-06-12T18:00:00Z,47.5,246,-0.20459716,2.0108619
2020-06-12T18:00:00Z,48,246,-0.024597168,1.8808618
2020-06-12T21:00:00Z,47,246,2.455791,0.11842041
2020-06-12T21:00:00Z,47.5,246,-0.044208985,2.1284204
2020-06-12T21:00:00Z,48,246,0.675791,1.8884203
2020-06-13T00:00:00Z,47,246,-2.1510131,3.4107835
2020-06-13T00:00:00Z,47.5,246,-1.3910131,2.2107837
2020-06-13T00:00:00Z,48,246,-0.31101316,2.3507836
2020-06-13T03:00:00Z,47,246,-3.6912134,0.49223387
2020-06-13T03:00:00Z,47.5,246,-3.2512133,-1.4477661
2020-06-13T03:00:00Z,48,246,-3.1512134,0.51223385
2020-06-13T06:00:00Z,47,246,-3.2873778,0.39935547
2020-06-13T06:00:00Z,47.5,246,-0.6473779,0.07935546
2020-06-13T06:00:00Z,48,246,-1.4073778,0.09935547
2020-06-13T09:00:00Z,47,246,-1.7574927,-1.1722802
2020-06-13T09:00:00Z,47.5,246,0.35250732,-1.3822802
2020-06-13T09:00:00Z,48,246,-1.0574926,-0.7722803
2020-06-13T12:00:00Z,47,246,-0.8280054,0.33990234
2020-06-13T12:00:00Z,47.5,246,1.0019946,0.21990234
2020-06-13T12:00:00Z,48,246,0.18199463,0.34990233
2020-06-13T15:00:00Z,47,246,-1.7349218,1.5844775
2020-06-13T15:00:00Z,47.5,246,-1.6649219,-0.38552245
2020-06-13T15:00:00Z,48,246,-1.5049218,-1.1255225
2020-06-13T18:00:00Z,47,246,0.03642822,2.441118
2020-06-13T18:00:00Z,47.5,246,-0.11357178,3.0211182
2020-06-13T18:00:00Z,48,246,-0.7135718,2.621118
2020-06-13T21:00:00Z,47,246,-0.7391064,3.2441943
2020-06-13T21:00:00Z,47.5,246,0.6308935,2.3741944
2020-06-13T21:00:00Z,48,246,0.5208935,3.8041942
2020-06-14T00:00:00Z,47,246,2.528208,5.147849
2020-06-14T00:00:00Z,47.5,246,3.258208,5.297849
2020-06-14T00:00:00Z,48,246,-0.61179197,3.897849
2020-06-14T03:00:00Z,47,246,0.2759497,2.5403588
2020-06-14T03:00:00Z,47.5,246,4.22595,1.2703588
2020-06-14T03:00:00Z,48,246,5.0059495,2.160359
2020-06-14T06:00:00Z,47,246,-0.35166258,1.0565943
2020-06-14T06:00:00Z,47.5,246,2.1283374,-0.16340576
2020-06-14T06:00:00Z,48,246,3.5083373,1.4365942
2020-06-14T09:00:00Z,47,246,0.7486035,0.6858984
2020-06-14T09:00:00Z,47.5,246,1.2086035,-0.82410157
2020-06-14T09:00:00Z,48,246,2.6786034,0.8358984
2020-06-14T12:00:00Z,47,246,-0.07463867,1.3459985
2020-06-14T12:00:00Z,47.5,246,1.3453614,-0.024001464
2020-06-14T12:00:00Z,48,246,2.1353612,0.7259985
2020-06-14T15:00:00Z,47,246,1.2629858,1.9683642
2020-06-14T15:00:00Z,47.5,246,0.69298583,1.4783642
2020-06-14T15:00:00Z,48,246,2.7229857,1.6583642
2020-06-14T18:00:00Z,47,246,0.42671874,2.2496655
2020-06-14T18:00:00Z,47.5,246,1.6767187,1.0496655
2020-06-14T18:00:00Z,48,246,2.2767186,2.2696655
2020-06-14T21:00:00Z,47,246,1.2647778,4.4466233
2020-06-14T21:00:00Z,47.5,246,0.9047778,2.8966234
2020-06-14T21:00:00Z,48,246,2.8847778,1.6166235
2020-06-15T00:00:00Z,47,246,0.76691896,5.0578175
2020-06-15T00:00:00Z,47.5,246,1.0469189,3.4678173
2020-06-15T00:00:00Z,48,246,3.206919,2.2778172
2020-06-15T03:00:00Z,47,246,1.1068481,2.518474
2020-06-15T03:00:00Z,47.5,246,3.026848,1.7384741
2020-06-15T03:00:00Z,48,246,2.516848,2.518474
2020-06-15T06:00:00Z,47,246,1.285498,0.3879248
2020-06-15T06:00:00Z,47.5,246,3.715498,-0.46207517
2020-06-15T06:00:00Z,48,246,4.535498,1.0679247
2020-06-15T09:00:00Z,47,246,1.0085839,-0.80330807
2020-06-15T09:00:00Z,47.5,246,2.7285838,-0.9733081
2020-06-15T09:00:00Z,48,246,4.268584,1.4166919
2020-06-15T12:00:00Z,47,246,0.96458983,-0.9406445
2020-06-15T12:00:00Z,47.5,246,2.2745898,-0.9906445
2020-06-15T12:00:00Z,48,246,2.9345899,-0.11064453
2020-06-15T15:00:00Z,47,246,1.6035839,-0.3853418
2020-06-15T15:00:00Z,47.5,246,2.7935839,1.4846581
2020-06-15T15:00:00Z,48,246,2.903584,1.1446582
2020-06-15T18:00:00Z,47,246,2.2468238,0.74830806
