"","datetime","wnd_10"
"104.5",2020-06-11 02:30:00,1.08652119274635
"107",2020-06-11 03:00:00,1.9738033849151
"107.1",2020-06-11 03:30:00,1.9738033849151
"107.2",2020-06-11 04:00:00,1.9738033849151
"107.3",2020-06-11 04:30:00,1.9738033849151
"107.4",2020-06-11 05:00:00,1.9738033849151
"107.5",2020-06-11 05:30:00,1.9738033849151
"110",2020-06-11 06:00:00,1.58248507601535
"110.1",2020-06-11 06:30:00,1.58248507601535
"110.2",2020-06-11 07:00:00,1.58248507601535
"110.3",2020-06-11 07:30:00,1.58248507601535
"110.4",2020-06-11 08:00:00,1.58248507601535
"110.5",2020-06-11 08:30:00,1.58248507601535
"113",2020-06-11 09:00:00,1.73525921798149
"113.1",2020-06-11 09:30:00,1.73525921798149
"113.2",2020-06-11 10:00:00,1.73525921798149
"113.3",2020-06-11 10:30:00,1.73525921798149
"113.4",2020-06-11 11:00:00,1.73525921798149
"113.5",2020-06-11 11:30:00,1.73525921798149
"116",2020-06-11 12:00:00,2.16789139731559
"116.1",2020-06-11 12:30:00,2.16789139731559
"116.2",2020-06-11 13:00:00,2.16789139731559
"116.3",2020-06-11 13:30:00,2.16789139731559
"116.4",2020-06-11 14:00:00,2.16789139731559
"116.5",2020-06-11 14:30:00,2.16789139731559
"119",2020-06-11 15:00:00,3.20393386133439
"119.1",2020-06-11 15:30:00,3.20393386133439
"119.2",2020-06-11 16:00:00,3.20393386133439
"119.3",2020-06-11 16:30:00,3.20393386133439
"119.4",2020-06-11 17:00:00,3.20393386133439
"119.5",2020-06-11 17:30:00,3.20393386133439
"122",2020-06-11 18:00:00,3.94873675119488
"122.1",2020-06-11 18:30:00,3.94873675119488
"122.2",2020-06-11 19:00:00,3.94873675119488
"122.3",2020-06-11 19:30:00,3.94873675119488
"122.4",2020-06-11 20:00:00,3.94873675119488
"122.5",2020-06-11 20:30:00,3.94873675119488
"125",2020-06-11 21:00:00,2.00101458437867
"125.1",2020-06-11 21:30:00,2.00101458437867
"125.2",2020-06-11 22:00:00,2.00101458437867
"125.3",2020-06-11 22:30:00,2.00101458437867
"125.4",2020-06-11 23:00:00,2.00101458437867
"125.5",2020-06-11 23:30:00,2.00101458437867
"128",2020-06-12 00:00:00,2.00974185816741
"128.1",2020-06-12 00:30:00,2.00974185816741
"128.2",2020-06-12 01:00:00,2.00974185816741
"128.3",2020-06-12 01:30:00,2.00974185816741
"128.4",2020-06-12 02:00:00,2.00974185816741
"128.5",2020-06-12 02:30:00,2.00974185816741
"131",2020-06-12 03:00:00,2.02167884182388
"131.1",2020-06-12 03:30:00,2.02167884182388
"131.2",2020-06-12 04:00:00,2.02167884182388
"131.3",2020-06-12 04:30:00,2.02167884182388
"131.4",2020-06-12 05:00:00,2.02167884182388
"131.5",2020-06-12 05:30:00,2.02167884182388
"134",2020-06-12 06:00:00,1.7380320829496
"134.1",2020-06-12 06:30:00,1.7380320829496
"134.2",2020-06-12 07:00:00,1.7380320829496
"134.3",2020-06-12 07:30:00,1.7380320829496
"134.4",2020-06-12 08:00:00,1.7380320829496
"134.5",2020-06-12 08:30:00,1.7380320829496
"137",2020-06-12 09:00:00,1.61834837814164
"137.1",2020-06-12 09:30:00,1.61834837814164
"137.2",2020-06-12 10:00:00,1.61834837814164
"137.3",2020-06-12 10:30:00,1.61834837814164
"137.4",2020-06-12 11:00:00,1.61834837814164
"137.5",2020-06-12 11:30:00,1.61834837814164
"140",2020-06-12 12:00:00,2.19682879279704
"140.1",2020-06-12 12:30:00,2.19682879279704
"140.2",2020-06-12 13:00:00,2.19682879279704
"140.3",2020-06-12 13:30:00,2.19682879279704
"140.4",2020-06-12 14:00:00,2.19682879279704
"140.5",2020-06-12 14:30:00,2.19682879279704
"143",2020-06-12 15:00:00,5.83399920867471
"143.1",2020-06-12 15:30:00,5.83399920867471
"143.2",2020-06-12 16:00:00,5.83399920867471
"143.3",2020-06-12 16:30:00,5.83399920867471
"143.4",2020-06-12 17:00:00,5.83399920867471
"143.5",2020-06-12 17:30:00,5.83399920867471
"146",2020-06-12 18:00:00,3.23288763005417
"146.1",2020-06-12 18:30:00,3.23288763005417
"146.2",2020-06-12 19:00:00,3.23288763005417
"146.3",2020-06-12 19:30:00,3.23288763005417
"146.4",2020-06-12 20:00:00,3.23288763005417
"146.5",2020-06-12 20:30:00,3.23288763005417
"149",2020-06-12 21:00:00,1.80125108595353
"149.1",2020-06-12 21:30:00,1.80125108595353
"149.2",2020-06-12 22:00:00,1.80125108595353
"149.3",2020-06-12 22:30:00,1.80125108595353
"149.4",2020-06-12 23:00:00,1.80125108595353
"149.5",2020-06-12 23:30:00,1.80125108595353
"152",2020-06-13 00:00:00,1.07419901025844
"152.1",2020-06-13 00:30:00,1.07419901025844
"152.2",2020-06-13 01:00:00,1.07419901025844
"152.3",2020-06-13 01:30:00,1.07419901025844
"152.4",2020-06-13 02:00:00,1.07419901025844
"152.5",2020-06-13 02:30:00,1.07419901025844
"155",2020-06-13 03:00:00,1.41639776577895
"155.1",2020-06-13 03:30:00,1.41639776577895
"155.2",2020-06-13 04:00:00,1.41639776577895
"155.3",2020-06-13 04:30:00,1.41639776577895
"155.4",2020-06-13 05:00:00,1.41639776577895
